draw,layer,Committee015,A_Stat,A_Dynamic,B_Stat
1342,A,0.6342353224754333,-0.3953968584537506,0.4839528799057007,
1343,A,1.7840125560760498,1.7837457656860352,1.385581135749817,
1344,B,0.5486481189727783,,,0.2284892499446869
1345,other,2.015280246734619,,,
1346,A,0.20224539935588837,1.0264724493026733,0.9112406373023987,
1347,A,1.2342333793640137,0.8250522017478943,0.5820197463035583,
1348,A,0.47693321108818054,0.8312256336212158,0.09502910077571869,
1349,A,0.14160744845867157,-0.973473310470581,-0.3371741473674774,
1350,A,-0.45096585154533386,-0.48804229497909546,-0.5562289953231812,
1351,A,0.3929840326309204,0.4967586398124695,0.7017973065376282,
1352,A,-0.9794931411743164,-0.8663429021835327,0.26552614569664,
1353,other,0.4495317339897156,,,
1354,other,-0.9456867575645447,,,
1355,A,-0.11453007161617279,0.4443555176258087,0.2552626132965088,
1356,B,-0.34732863306999207,,,0.21109619736671448
1357,B,0.8665308356285095,,,1.4088773727416992
1358,B,0.4885439872741699,,,0.3327758312225342
1359,A,0.32808810472488403,-0.01001004409044981,1.230040192604065,
1360,A,-0.06580303609371185,0.6108651161193848,1.0179518461227417,
1361,other,1.601021409034729,,,
1362,A,-0.5667714476585388,-1.3362821340560913,-1.7141917943954468,
1363,other,-0.24974572658538818,,,
1364,B,1.1691861152648926,,,1.1015903949737549
1365,A,-0.8203941583633423,1.2177060842514038,1.1077547073364258,
1366,A,0.5052672028541565,-0.3156241774559021,-0.13355442881584167,
1367,other,0.5533591508865356,,,
1368,B,0.20949909090995789,,,-0.3302266597747803
1369,other,-3.6367416381835938,,,
1370,B,0.10730137676000595,,,-0.40106961131095886
1371,A,-0.7437540292739868,0.16734173893928528,0.7471510767936707,
1372,A,0.5528133511543274,0.2674809992313385,0.23176391422748566,
1373,B,2.13332462310791,,,2.1612987518310547
1374,B,0.966063380241394,,,0.5074888467788696
1375,A,0.21305418014526367,-1.2270667552947998,-0.5300367474555969,
1376,A,1.6100523471832275,1.7828282117843628,1.114640474319458,
